Libelle;Densite de generalistes lib. 2024;Densite de population (historique depuis 1876) en 2022.;Part des personnes agees de 75 ans ou plus, 2022;Taux d'activité par tranche d'âge (25 à 59 ans), 2022;Part des ménages fiscaux imposés, 2021;Part des actifs occupés de 15 ans ou plus qui utilisent principalement les transports en commun pour aller travailler, 2022;Présence d'une faculté de médecine;Part de bénéf. de produits pharma dans la pop 2024;Densité d'infirmiers lib. 2024;Densité de kinés lib. 2024;Indice de vieillissement 2022
ZONE;DENS_MED_LIB;DENSITE;PART_75;TAUX_ACTIV;PART_IMPOT;PART_TRANS_COMM;UNIV;PART_PHARMA;DENS_INF;DENS_KIN;IND_VIEIL
Saint-etienne;8.8;290.8;10.9;89.5;47.6;10.2;1;93.9;21.5;11.8;87.4
Saint-Flour;8;15.4;14.1;93.7;42;0.9;0;87.4;23.3;7.7;163.6
Tarare;4;82.4;11.4;92.9;46.9;6;0;89.7;15.3;5.7;96
Valence;8.2;97.3;10.7;91.9;50.7;5.8;0;94.1;18.9;13.8;95.8
Vichy;7.6;57.7;14.1;90.1;45.7;4;0;90.7;18.3;14.4;142
Vienne-Annonay;6.5;138.7;10.3;91.1;50.6;5.8;0;93.5;16.3;8.7;89.7
Villefranche-sur-Saone;7.9;165.5;8.9;92.4;55.6;7.7;0;95.5;15.4;9.1;73.6
Voiron;8.5;114.1;10;93.2;54.8;7.8;0;94.3;17.8;13.5;89.1
Aix-en-Provence;11.1;216.3;10.3;91.5;61.4;8.8;0;95.9;22.7;20.1;96
Briancon;13.7;15.7;10.6;93.6;50.8;4.2;0;94.4;21.5;32.9;115.3
Brignoles;6;95.8;10.6;89.3;49.6;2.1;0;97.6;23.1;12.7;103.3
Cannes;10.8;350.8;13.6;90.1;56.5;7.7;0;NA;22.5;17.4;127.9
Carpentras;6.1;158;11.1;89.9;46.7;2.4;0;95.1;20.4;12.8;104.6
Cavaillon;8.1;83.1;12.2;88.7;47.9;2.3;0;94.5;24.1;13;122.5
Digne-les-Bains;8.2;17.3;13;89.2;46.9;2.5;0;89.9;23.4;13.8;138.2
Draguignan;6.8;84.7;11.6;87.8;49;2.8;0;NA;24.2;12.9;116.1
Frejus;9;330.8;16.8;89.1;55.6;3.1;0;99.7;29;22.3;177.6
Gap;12.3;32;12.8;91.6;48.8;3.5;0;93.6;24.5;26.2;130.7
Manosque;10.3;44.9;13;89.5;48.5;3.5;0;93.9;23.2;15.8;124.1
Marseille;11.2;1337.2;10.2;84.1;51.3;20.8;1;98.5;30.3;20.6;88.9
Martigues-Salon;7.5;326.2;10.2;89.2;53.6;4.7;0;98.4;27.2;14.1;89
Menton;9.6;113.6;13;91.6;58;13.3;0;73.4;19.2;22.1;124.9
Nice;11;208.4;12.5;89.1;53.8;19.2;1;97.5;25.8;17;113.4
Orange;6;171.3;11;90.4;48.7;2.4;0;92.5;20.4;11.3;96.5
Sainte-Maxime;10;134.7;14.3;89.7;56.1;1.3;0;99.2;22.8;16.9;156.3
